plot,location,trt,var,Nfert,year,depth,om,no3,nh4,toc,density,sand,silt,clay
1109,Was,16,switch,0,2012,A,5.8,8.5,9.1,2.98,1.09,17.4,31.3,51.3
1109,Was,16,switch,0,2012,B,2.7,4.41,4.1,1.41,1.09,17.5,28.8,53.8
1109,Was,16,switch,0,2012,C,1.4,5.52,4.4,0.88,1.07,18.7,30.0,51.3
1111,Was,6,corn,0,2012,A,5.5,8.07,7.8,2.71,1.09,18.9,28.7,52.4
1111,Was,6,corn,0,2012,B,2.8,5.96,4.7,1.33,1.09,22.5,27.5,50.0
1111,Was,6,corn,0,2012,C,1.3,5.61,4.4,1.28,1.12,25.0,30.0,45.0
1125,Was,21,TLI,0,2012,A,5.7,5.13,6.8,2.78,1.08,17.5,30.0,52.5
1125,Was,21,TLI,0,2012,B,2.8,3.54,3.3,1.26,1.12,18.7,28.8,52.5
1125,Was,21,TLI,0,2012,C,1.4,3.62,3.8,0.96,1.09,23.7,27.5,48.8
1210,Was,16,switch,0,2012,A,5.6,7.73,7.9,2.98,1.09,17.4,31.3,51.3
1210,Was,16,switch,0,2012,B,2.8,5.24,6.6,1.37,1.08,15.0,30.0,55.0
1210,Was,16,switch,0,2012,C,1.3,4.29,4.3,0.72,1.09,23.7,31.3,45.0
1217,Was,21,TLI,0,2012,A,5.9,4.79,7.7,3.06,1.09,20.0,28.8,51.3
1217,Was,21,TLI,0,2012,B,2.4,5.36,3.3,1.28,1.05,17.4,32.5,50.1
1217,Was,21,TLI,0,2012,C,1.7,3.21,4.7,0.63,1.12,24.9,27.5,47.5
1219,Was,6,corn,0,2012,A,5.5,7.28,8.9,2.8,1.11,19.9,28.8,51.3
1219,Was,6,corn,0,2012,B,3,3.48,4.3,1.22,1.1,21.2,30.0,48.8
1219,Was,6,corn,0,2012,C,1.2,2.75,2.8,0.53,1.12,18.7,32.5,48.8
1309,Was,16,switch,0,2012,A,6.1,4.5,7.7,2.93,1.12,17.4,31.3,51.3
1309,Was,16,switch,0,2012,B,2.9,2.58,2.6,1.33,1.06,12.4,33.8,53.8
1309,Was,16,switch,0,2012,C,1.5,2.8,4.9,0.73,1.06,12.5,37.5,50.0
1313,Was,21,TLI,0,2012,A,5.9,4.86,8.2,3.03,1.09,17.6,31.2,51.2
1313,Was,21,TLI,0,2012,B,3.3,3.53,5.3,1.55,1.1,14.9,31.3,53.8
1313,Was,21,TLI,0,2012,C,1.6,4.56,4.3,1.06,1.11,18.8,31.2,50.0
1320,Was,6,corn,0,2012,A,4.9,5.76,8.1,2.33,1.1,22.4,27.5,50.1
1320,Was,6,corn,0,2012,B,2.2,2.91,4.9,0.84,1.08,23.9,27.5,48.7
1320,Was,6,corn,0,2012,C,1.2,4.49,4.8,0.99,1.09,26.2,27.5,46.3
1416,Was,21,TLI,0,2012,A,6.1,6.75,8.4,3.19,1.07,17.6,32.5,50.0
1416,Was,21,TLI,0,2012,B,2.7,3.09,3.6,1.05,1.07,18.7,30.0,51.3
1416,Was,21,TLI,0,2012,C,1.1,2.1,4,0.36,1.08,23.7,30.0,46.3
1418,Was,6,corn,0,2012,A,5.8,6.29,7,2.94,1.11,16.4,33.7,49.9
1418,Was,6,corn,0,2012,B,2.7,4.16,4.1,1.2,1.07,26.2,27.5,46.3
1418,Was,6,corn,0,2012,C,1.3,3.51,4.1,0.55,1.09,20.1,32.5,47.5
1419,Was,16,switch,0,2012,A,5.8,4.56,7.3,2.91,1.09,17.4,32.5,50.0
1419,Was,16,switch,0,2012,B,2.7,4.35,4.4,1.27,1.1,17.5,27.5,55.0
1419,Was,16,switch,0,2012,C,1.7,6.72,4.6,0.72,1.08,20.1,32.5,47.5
2102,Lam,6,corn,0,2012,A,3,9.57,7.3,1.38,1.16,32.5,22.5,45.0
2102,Lam,6,corn,0,2012,B,2.1,5.55,4.9,0.96,1.15,37.5,20.0,42.5
2102,Lam,6,corn,0,2012,C,3.1,7.19,4.6,0.55,1.17,37.4,22.5,40.0
2118,Lam,16,switch,0,2012,A,3.6,3.45,6.7,1.71,1.15,32.5,23.8,43.8
2118,Lam,16,switch,0,2012,B,2.9,6.6,5.5,1.07,1.14,32.6,21.2,46.2
2118,Lam,16,switch,0,2012,C,1.8,5.34,4.4,0.64,1.13,30.0,25.0,45.0
2121,Lam,21,TLI,0,2012,A,3.8,1.98,6.3,2.02,1.1,31.3,23.8,45.0
2121,Lam,21,TLI,0,2012,B,2.8,5.27,4.3,1.11,1.17,31.2,22.5,46.3
2121,Lam,21,TLI,0,2012,C,1.7,3.74,4.5,0.61,1.19,35.0,22.5,42.5
2206,Lam,16,switch,0,2012,A,3.9,19.95,8.6,1.69,1.13,31.2,23.8,45.0
2206,Lam,16,switch,0,2012,B,1.5,9.06,5.4,1.1,1.14,26.3,26.2,47.5
2206,Lam,16,switch,0,2012,C,3.3,8.75,4.9,1,1.14,27.6,26.2,46.2
2219,Lam,6,corn,0,2012,A,4.1,5.21,7.3,1.93,1.13,28.8,26.2,45.0
2219,Lam,6,corn,0,2012,B,3.3,3.59,5.1,1.41,1.14,27.6,23.7,48.7
2219,Lam,6,corn,0,2012,C,1.9,2.76,5.4,0.59,1.15,26.2,27.5,46.3
2223,Lam,21,TLI,0,2012,A,4,0.96,7.6,1.87,1.13,32.4,23.8,43.8
2223,Lam,21,TLI,0,2012,B,3.2,2.75,5.5,1.24,1.15,28.9,25.0,46.2
2223,Lam,21,TLI,0,2012,C,1.8,2.42,4.6,0.57,1.17,26.3,27.5,46.2
2315,Lam,16,switch,0,2012,A,4.2,6.95,7.1,1.9,1.14,31.2,26.3,42.5
2315,Lam,16,switch,0,2012,B,3.5,14.49,6.8,1.5,1.16,28.7,25.0,46.3
2315,Lam,16,switch,0,2012,C,1.8,13.64,3.8,0.52,1.19,27.4,27.5,45.0
2323,Lam,6,corn,0,2012,A,4.1,11.13,7.3,2,1.14,28.8,26.2,44.9
2323,Lam,6,corn,0,2012,B,3.3,6.74,5.5,1.38,1.15,28.7,26.3,45.0
2323,Lam,6,corn,0,2012,C,1.8,3.57,4.1,0.73,1.12,28.8,26.2,45.0
2324,Lam,21,TLI,0,2012,A,4.1,10.2,8.6,1.9,1.16,31.2,25.0,43.8
2324,Lam,21,TLI,0,2012,B,3.7,19.68,8.7,1.71,1.12,28.8,27.5,43.7
2324,Lam,21,TLI,0,2012,C,1.9,1.73,4.4,0.59,1.16,29.9,27.5,42.6
2407,Lam,21,TLI,0,2012,A,4.2,2.1,6.3,2.01,1.12,28.7,27.5,43.8
2407,Lam,21,TLI,0,2012,B,3.4,3.77,6.4,1.41,1.15,27.4,26.3,46.3
2407,Lam,21,TLI,0,2012,C,1.5,2.54,4.7,0.45,1.16,28.8,28.7,42.5
2408,Lam,16,switch,0,2012,A,4,9.5,8.1,1.8,1.14,28.8,26.2,45.0
2408,Lam,16,switch,0,2012,B,3.1,10.22,5.5,1.25,1.12,26.3,27.5,46.2
2408,Lam,16,switch,0,2012,C,1.9,8.43,5.4,0.52,1.15,25.0,30.0,45.0
2424,Lam,6,corn,0,2012,A,5.1,9.87,9.6,2.56,1.11,25.0,27.5,47.5
2424,Lam,6,corn,0,2012,B,3.6,9.42,4.6,1.72,1.11,21.3,32.5,46.2
2424,Lam,6,corn,0,2012,C,2.5,6.27,5,0.9,1.25,28.8,27.5,43.7
3101,Cro,16,switch,0,2012,A,4.6,10.05,8.6,3.28,1.12,9.9,40.1,50.1
3101,Cro,16,switch,0,2012,B,1.7,16.17,7.2,2.56,1.14,4.9,43.8,51.3
3101,Cro,16,switch,0,2012,C,1.1,4.68,5.3,1.13,1.21,5.0,50.0,45.0
3105,Cro,6,corn,0,2012,A,4.6,7.62,7.7,2.91,1.12,6.3,43.7,50.0
3105,Cro,6,corn,0,2012,B,1.6,9.2,6.6,1.64,1.14,6.3,46.2,47.5
