time,agcacc,rlwacc,aglivc,somtc,cgrain,hi,pet,tnetmn,avh2o,crop,gm2,buacre
1965,1929.937,0,0.8551,2528.497,214.3897,0.4561,11.8057,5.7395,0.18,barley,446.6452083,95.03679522
1969,3693.894,0,2.5156,2603.87,158.8152,0.4506,10.7766,5.3235,5.0693,barley,330.865,70.40117898
1973,5547.005,0,2.8396,2776.943,172.8308,0.4523,10.1017,7.1011,4.4048,barley,360.0641667,76.61415333
1977,7597.228,0,1.2047,3001.207,164.7771,0.4511,11.2843,5.977,0.7449,barley,343.285625,73.04402922
1981,9782.4,0,1.27,3229.364,181.9595,0.4536,10.1763,6.6073,1.1726,barley,379.0822917,80.66081412
1985,12042.14,0,2.8223,3417.714,226.0544,0.4536,10.7625,7.41,2.0948,barley,470.9466667,100.2076393
1989,14071.79,0,3.2206,3584.598,241.6495,0.4504,10.7084,7.5463,3.0217,barley,503.4364583,107.1207901
1993,16346.44,0,4.0202,3789.169,209.2894,0.4629,12.133,7.9512,5.1382,barley,436.0195833,92.77588359
1997,18846.48,0,3.9371,3970.054,266.0255,0.4537,10.4788,9.2706,4.1885,barley,554.2197917,117.9264254
2001,21001.42,0,1.4981,4235.481,275.9974,0.4559,11.8057,9.2011,0.0999,barley,574.9945833,122.3468683
2002,21759.92,0,0.0586,4208.375,280.1977,0.6,2.3131,9.2769,4.2712,corn,622.6615556,114.5541597
2004,22629.25,0,2.6571,4208.091,275.4158,0.6,3.1558,14.41,5.2152,corn,612.0351111,112.5991596
2006,23519.86,0,0.2419,4226.388,218.9923,0.5999,3.1213,12.4618,4.2098,corn,486.6495556,89.53135198
2008,24639.76,0,1.0954,4261.217,363.2952,0.6,3.3648,16.3102,5.0768,corn,807.3226667,148.5271876
2010,25790,0,1.585,4256.346,347.5812,0.6,3.9549,17.6846,5.149,corn,772.4026667,142.1027806
2012,26690.41,0,1.5554,4263.24,246.5477,0.5964,2.7888,10.8333,4.2397,corn,547.8837778,100.796918
2014,27490.15,0,1.3112,4267.478,239.4826,0.6,3.4037,16.7684,1.1429,corn,532.1835556,97.90846963
1922,3433.972,0,2.1177,1635.171,21.1196,0.4299,11.8847,1.5089,0.2301,oat,520.6143478,165.4382244
1926,263.8994,0,1.983,1786.056,21.1944,0.43,11.5226,2.2561,0.0105,oat,45.91217391,14.58974107
1930,234.5773,0,3.5116,1827.13,25.7873,0.43,10.2615,2.5582,5.1803,oat,46.07478261,14.64141404
1934,362.1071,0,2.4781,1918.423,41.3307,0.4299,10.9926,2.7951,0.0532,oat,56.05934783,17.81425926
1938,412.2215,0,5.1233,2032.5,37.8572,0.43,10.786,3.4585,2.0215,oat,89.84934783,28.55187651
