"crpval","time","agcacc","rlwacc","aglivc","somtc","cgrain","hi","pet","tnetmn.1.","avh2o.1.","year","month","crop","moisture","carbon","bushelwt","gmyld","lbsyld","bushyld"
3.1,2002.42,42.0287,0,42.0167,2719.236,342.3975,0.4545,9.1423,-1.921,3.7732,2002,0.42,"corn",0.155,0.45,56,760.883333333333,7839.07663,139.98351125
3.1,2002.5,162.4962,0,162.4843,2692.402,342.3975,0.4545,12.163,-1.4356,3.2038,2002,0.5,"corn",0.155,0.45,56,760.883333333333,7839.07663,139.98351125
3.1,2002.58,256.5493,0,256.5373,2676.163,342.3975,0.4545,12.7166,0.5333,1.1022,2002,0.58,"corn",0.155,0.45,56,760.883333333333,7839.07663,139.98351125
3.1,2002.67,346.8043,0,346.7923,2665.342,342.3975,0.4545,10.185,2.1938,5.1252,2002,0.67,"corn",0.155,0.45,56,760.883333333333,7839.07663,139.98351125
3.1,2002.75,423.6581,0,423.6461,2651.9,342.3975,0.4545,6.7795,3.8779,2.9551,2002,0.75,"corn",0.155,0.45,56,760.883333333333,7839.07663,139.98351125
3.1,2002.83,0,0,0,2812.913,257.531,0.6,2.3131,4.3449,4.2812,2002,0.83,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2002.92,0,0,0,2799.475,257.531,0.6,1.0143,4.3981,3.8872,2002,0.92,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2003,0,0,0,2793.037,257.531,0.6,0.6281,4.4259,3.6852,2003,0,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2003.08,0,0,0,2787.727,257.531,0.6,0.4331,0.0247,3.9371,2003,0.08,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2003.17,0,0,0,2785.222,257.531,0.6,0.493,0.0374,3.8595,2003,0.17,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2003.25,0,0,0,2778.372,257.531,0.6,2.4691,0.0741,4.8259,2003,0.25,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2003.33,0,0,0,2765.173,257.531,0.6,6.7591,0.1817,4.643,2003,0.33,"corn",0.155,0.45,56,572.291111111111,5896.08640133333,105.287257166667
3.1,2006.75,331.3637,0,331.1402,2721.131,95.8897,0.3699,6.54,4.2699,3.0476,2006,0.75,"corn",0.155,0.45,56,213.088222222222,2195.36271826667,39.2029056833333
3.1,2006.83,0,0,0,2832.413,204.8273,0.5998,3.1213,4.9429,4.1622,2006,0.83,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2006.92,0,0,0,2821.176,204.8273,0.5998,1.2823,5.1305,3.2313,2006,0.92,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2007,0,0,0,2815.949,204.8273,0.5998,0.7455,5.2216,3.5599,2007,0,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2007.08,0,0,0,2812.135,204.8273,0.5998,0.5421,0.074,3.4146,2007,0.08,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2007.17,0,0,0,2808.982,204.8273,0.5998,0.5727,0.1373,3.4558,2007,0.17,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2007.25,0,0,0,2804.009,204.8273,0.5998,2.8353,0.249,5.2485,2007,0.25,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2007.33,0,0,0,2794.498,204.8273,0.5998,6.0537,0.476,4.2002,2007,0.33,"corn",0.155,0.45,56,455.171777777778,4689.45275773333,83.7402278166667
3.1,2010.75,439.3896,0,439.355,2758.357,128.2131,0.37,5.5365,5.9366,4.6995,2010,0.75,"corn",0.155,0.45,56,284.918,2935.3961868,52.41778905
3.1,2010.83,0,0,0,2913.137,276.0837,0.5997,3.9549,6.7683,5.1797,2010,0.83,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
3.1,2010.92,0,0,0,2895.648,276.0837,0.5997,1.2408,6.9412,4.7329,2010,0.92,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
3.1,2011,0,0,0,2889.914,276.0837,0.5997,0.3418,6.9976,4.7454,2011,0,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
3.1,2004.42,32.3559,0,32.2941,2733.552,91.9503,0.3697,8.3154,-0.2343,5.1764,2004,0.42,"corn",0.155,0.45,56,204.334,2105.1714684,37.59234765
3.1,2004.5,163.8303,0,163.7685,2718.476,91.9503,0.3697,10.9354,0.446,0.8,2004,0.5,"corn",0.155,0.45,56,204.334,2105.1714684,37.59234765
3.1,2004.58,299.0724,0,299.0106,2706.475,91.9503,0.3697,11.771,2.5872,0.9262,2004,0.58,"corn",0.155,0.45,56,204.334,2105.1714684,37.59234765
3.1,2004.67,386.7288,0,386.667,2699.476,91.9503,0.3697,9.267,4.0818,4.5749,2004,0.67,"corn",0.155,0.45,56,204.334,2105.1714684,37.59234765
3.1,2004.75,473.5363,0,473.4744,2687.894,91.9503,0.3697,6.3699,6.0133,4.2778,2004,0.75,"corn",0.155,0.45,56,204.334,2105.1714684,37.59234765
3.1,2004.83,0,0,0,2831.998,291.3256,0.6,3.1558,6.6821,5.2261,2004,0.83,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2004.92,0,0,0,2815.037,291.3256,0.6,1.3389,6.8468,4.3782,2004,0.92,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2005,0,0,0,2810.514,291.3256,0.6,0.564,6.8907,5.003,2005,0,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2005.08,0,0,0,2806.677,291.3256,0.6,0.4069,0.0402,5.0198,2005,0.08,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2005.17,0,0,0,2803.049,291.3256,0.6,0.8663,0.0794,6.2448,2005,0.17,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2005.25,0,0,0,2798.594,291.3256,0.6,2.4206,0.1353,4.9262,2005,0.25,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2005.33,0,0,0,2784.897,291.3256,0.6,7.0666,0.3282,4.0585,2005,0.33,"corn",0.155,0.45,56,647.390222222222,6669.80250346667,119.103616133333
3.1,2008.75,563.9988,0,563.9713,2737.258,85.3953,0.3698,6.3025,5.5362,3.4764,2008,0.75,"corn",0.155,0.45,56,189.767333333333,1955.0969284,34.91244515
3.1,2008.83,0,0,0,2886.123,345.1209,0.6,3.3648,6.339,5.0926,2008,0.83,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2008.92,0,0,0,2870.375,345.1209,0.6,1.2495,6.4735,4.9209,2008,0.92,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2009,0,0,0,2864.747,345.1209,0.6,0.3511,6.5272,4.8495,2009,0,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2009.08,0,0,0,2860.384,345.1209,0.6,0.3309,0.041,4.8612,2009,0.08,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2009.17,0,0,0,2856.572,345.1209,0.6,0.6333,0.0775,6.3266,2009,0.17,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2009.25,0,0,0,2852.208,345.1209,0.6,1.9734,0.1274,10.8715,2009,0.25,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2009.33,0,0,0,2843.145,345.1209,0.6,4.9753,0.2517,5.2,2009,0.33,"corn",0.155,0.45,56,766.935333333333,7901.4279652,141.09692795
3.1,2010.5,189.9704,0,189.9358,2775.73,128.2131,0.37,10.1152,1.2662,0.6846,2010,0.5,"corn",0.155,0.45,56,284.918,2935.3961868,52.41778905
3.1,2010.58,295.2768,0,295.2422,2770.539,128.2131,0.37,12.5295,2.9195,0.8233,2010,0.58,"corn",0.155,0.45,56,284.918,2935.3961868,52.41778905
3.1,2010.67,387.7942,0,387.7596,2767.013,128.2131,0.37,10.3183,4.3996,0.3642,2010,0.67,"corn",0.155,0.45,56,284.918,2935.3961868,52.41778905
3.1,2008.5,186.5657,0,186.5381,2759.638,85.3953,0.3698,11.1929,0.4631,2.4958,2008,0.5,"corn",0.155,0.45,56,189.767333333333,1955.0969284,34.91244515
3.1,2006.42,53.2804,0,53.057,2748.719,95.8897,0.3699,9.8721,-0.0891,1.5782,2006,0.42,"corn",0.155,0.45,56,213.088222222222,2195.36271826667,39.2029056833333
3.1,2006.5,108.2639,0,108.0404,2742.12,95.8897,0.3699,12.4382,0.2056,0.0828,2006,0.5,"corn",0.155,0.45,56,213.088222222222,2195.36271826667,39.2029056833333
3.1,2006.58,159.2407,0,159.0173,2740.645,95.8897,0.3699,14.566,0.8466,0.2108,2006,0.58,"corn",0.155,0.45,56,213.088222222222,2195.36271826667,39.2029056833333
3.1,2006.67,275.7709,0,275.5475,2728.305,95.8897,0.3699,11.2063,2.7723,1.4823,2006,0.67,"corn",0.155,0.45,56,213.088222222222,2195.36271826667,39.2029056833333
3.1,2011.17,0,0,0,2881.496,276.0837,0.5997,0.758,0.0845,6.7618,2011,0.17,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
3.1,2011.25,0,0,0,2876.63,276.0837,0.5997,2.0369,0.1535,4.7265,2011,0.25,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
3.1,2011.33,0,0,0,2865.603,276.0837,0.5997,5.1805,0.32,4.7414,2011,0.33,"corn",0.155,0.45,56,613.519333333333,6320.8442836,112.87221935
