       time          cgrain          somtc           rain       

    1880.00           .0000       2305.6550           .7000
    1881.00           .0000       2306.9560          3.1000
    1881.08           .0000       2317.3220          2.6000
    1881.17           .0000       2327.3320           .4000
    1881.25           .0000       2334.7110          4.6000
    1881.33           .0000       3356.2910           .0000
    1881.42           .0000       3386.6210          3.5000
    1881.50           .0000       3348.8940          4.2000
    1881.58           .0000       3307.7230          4.2000
    1881.67           .0000       3216.4240          5.2000
    1881.75           .0000       3131.6540          7.5000
    1881.83           .0000       3087.3300          1.2000
    1881.92           .0000       3075.2410          2.3000
    1882.00           .0000       3068.4420          2.5000
    1882.00           .0000       3068.4420          2.5000
    1882.00           .0000       3068.4420          2.5000
    1882.08           .0000       3059.8040          2.4000
    1882.17           .0000       3052.7160          1.4000
    1882.25           .0000       3045.3980          1.5000
    1882.33           .0000       3055.4590           .0000
    1882.42           .0000       3043.6900           .7000
    1882.50           .0000       3019.9220          4.5000
    1882.58           .0000       3000.8190          4.0000
    1882.67          5.6199       2926.7230         14.9000
    1882.75          5.6199       2874.1660          4.7000
    1882.83          5.6199       2853.2190          3.6000
    1882.92          5.6199       2844.8670          1.8000
    1883.00          5.6199       2842.4110           .3000
    1883.08          5.6199       2840.1580           .5000
    1883.17          5.6199       2836.6260          1.4000
    1883.25          5.6199       2831.9040          1.4000
    1883.33          5.6199       2862.1660          3.5000
    1883.42          5.6199       2833.1850          6.5000
    1883.50          5.6199       2782.0090         16.2000
    1883.58          5.6199       2744.0880         10.5000
    1883.67         38.3498       2732.9620          9.0000
    1883.75         38.3498       2694.4570          9.4000
    1883.83         38.3498       2678.6350          7.7000
    1883.92         38.3498       2671.7140          1.5000
    1884.00         38.3498       2669.1950           .7000
    1884.08         38.3498       2667.2280          2.8000
    1884.17         38.3498       2665.4900           .4000
    1884.25         38.3498       2662.7730          2.6000
    1884.33         38.3498       2690.4460          2.2000
    1884.42         38.3498       2663.6700          8.0000
    1884.50         38.3498       2649.8320          6.7000
    1884.58         38.3498       2629.3710         10.9000
    1884.67         26.2033       2663.6470          2.2000
    1884.75         26.2033       2645.4210          4.5000
    1884.83         26.2033       2627.9930         13.7000
    1884.92         26.2033       2623.2050          2.0000
    1885.00         26.2033       2621.0890          1.4000
    1885.08         26.2033       2619.4210           .7000
    1885.17         26.2033       2617.8140          1.2000
    1885.25         26.2033       2614.2840          4.7000
    1885.33         26.2033       2629.7660           .7000
    1885.42         26.2033       2613.7230          5.8000
    1885.50         26.2033       2590.4890         13.6000
    1885.58         26.2033       2575.8460          6.1000
    1885.67         23.0272       2579.5390         12.6000
    1885.75         23.0272       2549.4150          6.0000
    1885.83         23.0272       2537.1650          4.8000
    1885.92         23.0272       2532.5730          2.9000
    1886.00         23.0272       2530.6830          1.2000
    1886.08         23.0272       2529.1340          1.0000
    1886.17         23.0272       2527.5640          2.1000
    1886.25         23.0272       2525.4060           .8000
    1886.33         23.0272       2539.0910          3.7000
    1886.42         23.0272       2529.0730          2.8000
    1886.50         23.0272       2508.8630         14.7000
    1886.58         23.0272       2506.1140          1.4000
    1886.67         22.6710       2515.5300          7.1000
    1886.75         22.6710       2510.5100          1.1000
    1886.83         22.6710       2500.7840         10.9000
    1886.92         22.6710       2496.9530           .4000
    1887.00         22.6710       2495.3360          1.9000
    1887.08         22.6710       2493.6750           .8000
    1887.17         22.6710       2492.1390          1.0000
    1887.25         22.6710       2488.4820          2.6000
    1887.33         22.6710       2499.8010          1.8000
    1887.42         22.6710       2481.6050         13.1000
    1887.50         22.6710       2463.4670          6.8000
    1887.58         22.6710       2449.6760          6.4000
    1887.67         27.3364       2446.9900         16.2000
    1887.75         27.3364       2421.6270          3.5000
    1887.83         27.3364       2413.7340          4.8000
    1887.92         27.3364       2411.2130          3.8000
    1888.00         27.3364       2409.9130           .5000
    1888.08         27.3364       2408.7860           .9000
    1888.17         27.3364       2407.7400          1.3000
    1888.25         27.3364       2405.5750           .0000
    1888.33         27.3364       2428.3830         11.4000
    1888.42         27.3364       2413.9030          3.5000
    1888.50         27.3364       2405.4680          4.9000
    1888.58         27.3364       2396.4270          8.3000
    1888.67         19.5742       2429.7070          2.6000
    1888.75         19.5742       2407.6360          6.7000
    1888.83         19.5742       2400.5830           .6000
    1888.92         19.5742       2398.6530          7.0000
    1889.00         19.5742       2397.6370           .7000
    1889.08         19.5742       2396.3910           .8000
    1889.17         19.5742       2394.9490          3.2000
    1889.25         19.5742       2391.9880          1.5000
    1889.33         19.5742       2407.8180           .1000
    1889.42         19.5742       2391.6000         12.9000
    1889.50         19.5742       2385.5380          3.2000
    1889.58         19.5742       2367.1980         15.4000
    1889.67         20.6313       2365.8960          7.6000
    1889.75         20.6313       2346.1880          4.3000
    1889.83         20.6313       2342.4670           .5000
