"crpval","time","agcacc","rlwacc","aglivc","somtc","cgrain","hi","pet","tnetmn.1.","avh2o.1.","year","month","crop","moisture","carbon","bushelwt","gmyld","lbsyld","bushyld"
3.1,2002.83,20019.45,0,0.0586,3934.448,263.447,0.6,2.3131,8.6482,4.2712,"2002","83","corn",0.155,0.45,56,585.437777777778,6031.53124933333,107.705915166667
3.1,2006.83,21747.48,0,0.2419,3974.529,216.1963,0.5999,3.1213,12.0962,4.216,"2006","83","corn",0.155,0.45,56,480.436222222222,4949.74222306667,88.3882539833333
3.1,2010.83,23985.43,0,1.585,4027.811,339.1736,0.6,3.9549,17.1395,5.149,"2010","83","corn",0.155,0.45,56,753.719111111111,7765.26651413333,138.665473466667
3.1,2004.83,20867.11,0,2.6083,3946.257,267.9432,0.6,3.1558,13.8687,5.2152,"2004","83","corn",0.155,0.45,56,595.429333333333,6134.4702496,109.5441116
3.1,2008.83,22852.91,0,1.0954,4021.186,357.2237,0.6,3.3648,15.8288,5.0768,"2008","83","corn",0.155,0.45,56,793.830444444444,8178.51753693333,146.044956016667
21.2,1989.83,12971.91,0,86.0789,3322.904,229.5065,0.4503,3.8046,8.4779,4.4642,"1989","83","barley",0.145,0.48,48,478.138541666667,4883.42018145833,101.737920447049
21.2,1985.83,11050.95,0,66.7257,3158.833,213.6735,0.4533,3.9456,8.2864,3.9096,"1985","83","barley",0.145,0.48,48,445.153125,4546.526926875,94.7193109765625
21.2,1965.83,1763.801,0,21.4214,2419.491,202.6466,0.4561,3.0875,5.8193,2.7488,"1965","83","barley",0.145,0.48,48,422.180416666667,4311.89746758333,89.8311972413195
21.2,1993.83,15050.91,0,102.0808,3483.845,196.0856,0.4622,2.9284,9.172,4.4463,"1993","83","barley",0.145,0.48,48,408.511666666667,4172.29305633333,86.9227720069444
21.2,1973.83,5076.153,0,46.5033,2631.99,158.7874,0.4518,3.222,7.6064,3.6392,"1973","83","barley",0.145,0.48,48,330.807083333333,3378.66506491667,70.3888555190972
21.2,1977.83,6940.796,0,40.9052,2809.94,150.196,0.4507,3.752,6.6587,4.8611,"1977","83","barley",0.145,0.48,48,312.908333333333,3195.85797166667,66.5803744097222
21.2,1981.83,9008.487,0,71.5392,3004.231,172.3187,0.453,3.2955,7.8091,4.4772,"1981","83","barley",0.145,0.48,48,358.997291666667,3666.58293870833,76.3871445564236
21.2,1969.83,3383.965,0,49.9678,2483.646,151.3744,0.4506,2.9186,6.0649,4.9057,"1969","83","barley",0.145,0.48,48,315.363333333333,3220.93186866667,67.1027472638889
21.2,1997.83,17319.6,0,81.742,3647.121,252.385,0.4537,3.1872,10.0604,3.0296,"1997","83","barley",0.145,0.48,48,525.802083333333,5370.22699791667,111.879729123264
21.2,2001.83,19335.66,0,50.2413,3867.15,262.9123,0.4561,3.0875,9.9324,2.4181,"2001","83","barley",0.145,0.48,48,547.733958333333,5594.22601004167,116.546375209201
21.3,1881.83,0,0,7.7398,3087.33,0,0,3.3589,3.8602,1.85,"1881","83","prairie",NA,NA,NA,NA,NA,NA
26,1932.83,0,0,102.745,1734.592,25.7873,0.43,3.2325,5.9147,4.4516,"1932","83","pasture",NA,NA,NA,NA,NA,NA
26,1931.83,0,0,73.8102,1757.017,25.7873,0.43,3.4039,2.7765,1.0624,"1931","83","pasture",NA,NA,NA,NA,NA,NA
26,1943.83,0,0,121.5212,2013.482,57.1504,0.43,3.4188,4.3152,3.7518,"1943","83","pasture",NA,NA,NA,NA,NA,NA
26,1944.83,0,0,47.8109,1999.486,57.1504,0.43,3.0923,5.3554,3.8055,"1944","83","pasture",NA,NA,NA,NA,NA,NA
26,1935.83,0,0,106.6214,1839.348,41.3307,0.4299,3.511,3.7662,4.6708,"1935","83","pasture",NA,NA,NA,NA,NA,NA
26,1936.83,0,0,77.6037,1829.508,41.3307,0.4299,3.053,6.0296,5.1039,"1936","83","pasture",NA,NA,NA,NA,NA,NA
26,1947.83,0,0,105.476,2063.011,34.2868,0.4299,2.2744,3.8271,5.2569,"1947","83","pasture",NA,NA,NA,NA,NA,NA
26,1948.83,0,0,117.9986,2024.163,34.2868,0.4299,3.907,7.1001,5.1309,"1948","83","pasture",NA,NA,NA,NA,NA,NA
26,1939.83,0,0,116.9747,1936.16,37.8572,0.43,3.1557,4.1795,4.4494,"1939","83","pasture",NA,NA,NA,NA,NA,NA
26,1940.83,0,0,122.2369,1907.722,37.8572,0.43,2.3184,6.7967,3.9909,"1940","83","pasture",NA,NA,NA,NA,NA,NA
