    time   dayofyr   metabc(2)   strucc(2)    som1c(1)    som1c(2)    som2c(1)    som2c(2)      som3c
1800.00   1     28.3621    193.4546      5.7600     73.5482      2.9213   1123.5554   878.6644
1800.00   2     28.5893    193.5708      5.7702     73.5513      2.9226   1123.5554   878.6644
1800.00   3     28.8122    193.6860      5.7820     73.5549      2.9242   1123.5554   878.6641
1800.00   4     29.0322    193.8008      5.7947     73.5589      2.9258   1123.5554   878.6639
1800.00   5     29.2502    193.9155      5.8082     73.5631      2.9275   1123.5559   878.6636
1800.00   6     29.4665    194.0301      5.8221     73.5676      2.9292   1123.5554   878.6634
1800.00   7     29.6815    194.1447      5.8364     73.5723      2.9310   1123.5559   878.6629
1800.00   8     29.8954    194.2595      5.8510     73.5772      2.9329   1123.5564   878.6624
1800.00   9     30.1082    194.3745      5.8659     73.5822      2.9347   1123.5569   878.6622
1800.00  10     30.3201    194.4895      5.8810     73.5873      2.9366   1123.5569   878.6619
1800.00  11     30.5311    194.6047      5.8964     73.5927      2.9385   1123.5569   878.6617
1800.00  12     30.7413    194.7200      5.9119     73.5981      2.9404   1123.5574   878.6614
1800.00  13     30.9508    194.8356      5.9276     73.6037      2.9423   1123.5579   878.6612
1800.00  14     31.1595    194.9514      5.9434     73.6095      2.9442   1123.5583   878.6609
1800.00  15     31.3675    195.0672      5.9594     73.6153      2.9461   1123.5583   878.6607
1800.00  16     31.5749    195.1833      5.9755     73.6213      2.9480   1123.5583   878.6605
1800.00  17     31.7815    195.2993      5.9918     73.6274      2.9500   1123.5583   878.6602
1800.00  18     31.9876    195.4156      6.0082     73.6336      2.9519   1123.5583   878.6600
1800.00  19     32.1930    195.5320      6.0247     73.6400      2.9539   1123.5583   878.6597
1800.00  20     32.3978    195.6486      6.0414     73.6464      2.9559   1123.5583   878.6595
1800.00  21     32.6020    195.7653      6.0581     73.6530      2.9578   1123.5583   878.6592
1800.00  22     32.8057    195.8822      6.0750     73.6597      2.9598   1123.5583   878.6590
1800.00  23     33.0042    195.9978      6.0948     73.6673      2.9621   1123.5583   878.6588
1800.00  24     33.1926    196.1105      6.1186     73.6766      2.9649   1123.5588   878.6585
1800.00  25     33.3779    196.2230      6.1416     73.6864      2.9676   1123.5593   878.6583
1800.00  26     33.5634    196.3362      6.1633     73.6962      2.9701   1123.5593   878.6580
1800.00  27     33.7433    196.4480      6.1867     73.7070      2.9728   1123.5593   878.6578
1800.00  28     33.9133    196.5569      6.2139     73.7195      2.9760   1123.5593   878.6575
1800.00  29     34.0784    196.6643      6.2430     73.7330      2.9793   1123.5598   878.6573
1800.00  30     34.2601    196.7768      6.2663     73.7437      2.9820   1123.5598   878.6570
1800.00  31     34.4566    196.8940      6.2838     73.7518      2.9841   1123.5603   878.6568
1800.08  32     34.6828    197.0235      6.3008     73.7596      2.9860   1123.5603   878.6566
1800.08  33     34.9275    197.1591      6.3105     73.7640      2.9871   1123.5608   878.6566
1800.08  34     35.1758    197.2963      6.3185     73.7678      2.9880   1123.5613   878.6566
1800.08  35     35.4216    197.4334      6.3274     73.7719      2.9890   1123.5618   878.6566
1800.08  36     35.6707    197.5721      6.3346     73.7753      2.9899   1123.5618   878.6566
1800.08  37     35.9202    197.7115      6.3414     73.7786      2.9906   1123.5618   878.6566
1800.08  38     36.1585    197.8483      6.3525     73.7839      2.9919   1123.5618   878.6566
1800.08  39     36.3884    197.9831      6.3667     73.7908      2.9935   1123.5618   878.6563
1800.08  40     36.6154    198.1175      6.3821     73.7983      2.9952   1123.5623   878.6561
1800.08  41     36.8450    198.2530      6.3965     73.8052      2.9968   1123.5627   878.6558
1800.08  42     37.0687    198.3872      6.4131     73.8133      2.9986   1123.5627   878.6556
1800.08  43     37.2895    198.5209      6.4306     73.8219      3.0006   1123.5627   878.6553
1800.08  44     37.5082    198.6543      6.4489     73.8310      3.0026   1123.5632   878.6551
1800.08  45     37.7251    198.7874      6.4678     73.8404      3.0046   1123.5637   878.6548
1800.08  46     37.9406    198.9204      6.4870     73.8501      3.0068   1123.5637   878.6546
1800.08  47     38.1549    199.0533      6.5067     73.8601      3.0089   1123.5642   878.6544
1800.08  48     38.3680    199.1860      6.5266     73.8704      3.0111   1123.5647   878.6541
1800.08  49     38.5800    199.3186      6.5469     73.8808      3.0133   1123.5652   878.6539
1800.08  50     38.7911    199.4512      6.5674     73.8915      3.0155   1123.5657   878.6536
1800.08  51     39.0013    199.5837      6.5881     73.9024      3.0178   1123.5657   878.6534
1800.08  52     39.2107    199.7161      6.6091     73.9135      3.0201   1123.5662   878.6531
1800.08  53     39.4193    199.8485      6.6302     73.9247      3.0224   1123.5667   878.6529
1800.08  54     39.6271    199.9809      6.6515     73.9362      3.0247   1123.5671   878.6526
1800.08  55     39.8342    200.1132      6.6730     73.9478      3.0270   1123.5671   878.6524
1800.08  56     40.0406    200.2454      6.6946     73.9595      3.0294   1123.5671   878.6522
1800.08  57     40.2464    200.3776      6.7164     73.9714      3.0317   1123.5671   878.6519
1800.08  58     40.4515    200.5099      6.7383     73.9835      3.0341   1123.5671   878.6517
1800.08  59     40.6560    200.6421      6.7604     73.9957      3.0365   1123.5671   878.6514
1800.17  60     40.8498    200.7517      6.7804     74.0068      3.0387   1123.5676   878.6512
1800.17  61     41.0427    200.8617      6.8005     74.0181      3.0408   1123.5676   878.6509
1800.17  62     41.2348    200.9721      6.8208     74.0296      3.0430   1123.5676   878.6507
1800.17  63     41.4261    201.0826      6.8411     74.0411      3.0452   1123.5676   878.6505
1800.17  64     41.6166    201.1935      6.8615     74.0528      3.0474   1123.5676   878.6502
1800.17  65     41.8064    201.3046      6.8820     74.0646      3.0496   1123.5676   878.6500
1800.17  66     41.9981    201.4168      6.9008     74.0759      3.0516   1123.5681   878.6495
1800.17  67     42.1856    201.5283      6.9212     74.0881      3.0538   1123.5686   878.6492
1800.17  68     42.3665    201.6385      6.9442     74.1018      3.0563   1123.5696   878.6490
1800.17  69     42.5437    201.7483      6.9690     74.1162      3.0590   1123.5701   878.6487
1800.17  70     42.7101    201.8555      6.9990     74.1332      3.0622   1123.5706   878.6485
1800.17  71     42.8780    201.9635      7.0290     74.1498      3.0655   1123.5710   878.6483
1800.17  72     43.0306    202.0628      7.0612     74.1673      3.0690   1123.5720   878.6480
1800.17  73     43.1723    202.1558      7.0950     74.1850      3.0726   1123.5730   878.6478
1800.17  74     43.3350    202.2571      7.1231     74.1994      3.0757   1123.5730   878.6475
1800.17  75     43.4268    202.3334      7.1258     74.2263      3.0760   1123.5740   878.6475
1800.17  76     43.5307    202.4099      7.1288     74.2487      3.0763   1123.5745   878.6473
1800.17  77     43.6630    202.4973      7.1315     74.2668      3.0766   1123.5750   878.6470
1800.17  78     43.7960    202.5878      7.1341     74.2862      3.0769   1123.5759   878.6468
1800.17  79     43.9367    202.6802      7.1366     74.3037      3.0771   1123.5764   878.6465
1800.17  80     44.0821    202.7754      7.1391     74.3209      3.0774   1123.5769   878.6463
1800.17  81     44.2549    202.8847      7.1413     74.3356      3.0776   1123.5779   878.6461
1800.17  82     44.4381    202.9982      7.1432     74.3485      3.0778   1123.5779   878.6458
1800.17  83     44.6208    203.1119      7.1452     74.3615      3.0780   1123.5784   878.6456
1800.17  84     44.7837    203.2211      7.1473     74.3791      3.0783   1123.5789   878.6453
1800.17  85     44.9537    203.3316      7.1494     74.3948      3.0785   1123.5793   878.6451
1800.17  86     45.1312    203.4449      7.1514     74.4089      3.0787   1123.5798   878.6448
1800.17  87     45.3183    203.5607      7.1533     74.4206      3.0789   1123.5808   878.6446
1800.17  88     45.4944    203.6741      7.1551     74.4350      3.0791   1123.5813   878.6443
1800.17  89     45.6801    203.7903      7.1572     74.4470      3.0793   1123.5813   878.6441
1800.17  90     45.8617    203.9033      7.1595     74.4586      3.0795   1123.5818   878.6439
1800.25  91     46.0524    204.0062      7.1621     74.4695      3.0798   1123.5823   878.6436
1800.25  92     46.2282    204.1007      7.1650     74.4805      3.0801   1123.5828   878.6434
